id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state,zip
52c860f2-62f0,2B3CJ5DT5BH541198,24598,52934,M13696P,2011,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Unleaded,5.7,V,hendrick chevrolet cary,100 Auto Mall Drive,Cary,NC,27511
864e1d5d-a74e,2C3CDZBT8JH182948,36450,15422,1268851,2018,Dodge,Challenger,R/T Plus,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,deery brothers gm,200 S. Gear Avenue,West Burlington,IA,52655
674c8286-c021,2C3CDZBT0KH606382,29873,34188,14903A,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,hennessy honda of woodstock,8931 Highway 92,Woodstock,GA,30189
b4966e26-becf,2C3CDZBT2LH134977,39995,2482,P5451,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,zeigler chrysler dodge jeep ram of plainwell,1186 East M-89,Plainwell,MI,49080
4a98ccc5-4404,2C3CDZAT6FH873565,27991,36858,FH873565,2015,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,mini of clear lake,300 Gulf Fwy S,League City,TX,77573
4e38bd2b-aa50,2B3CJ5DT8AH184419,17999,48610,11705,2010,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,nationwide auto group,917 Highway 130,East Windsor,NJ,08520
c29a2461-77fb,2C3CDZBT2LH134977,39995,2482,P5451,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,zeigler fiat of grandville,4200 Parkway Pl Sw,Grandville,MI,49418
2b0488f4-67c6,2C3CDZBT5HH604796,,36106,D9039A,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,sunset motors incorp,2218 Sunset Blvd.,Steubenville,OH,43952
42a4dafc-5b83,2C3CDZBT3JH255482,31989,20938,6193P,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,westgate kia,10956 Star Rd,Wake Forest,NC,27587
62777753-3bd7,2C3CDZBTXKH541332,32981,23810,A300B,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,crossroads infiniti of apex,1900 Laura Duncan Rd,Apex,NC,27523
52f937fc-b4e7,2C3CDYBT1DH646872,25000,51609,646872,2013,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,dutch's ford,745 Indian Mound Drive-on The Bypass,Mount Sterling,KY,40353
